"","instant","dteday","season","yr","mnth","holiday","weekday","workingday","weathersit","temp","atemp","hum","windspeed","casualaverage","temp_average","atemp_average","tomrw_atemp","tomrw_temp","tomrw_weather","tomrw_windspeed","tomrw_hum","predict_day","predict_workday","predict_holiday","casual_diff","casual","registered","cnt","lag_cnt","lag_casual"
"8",8,2011-01-08,1,0,1,0,6,0,2,0.165,0.162254,0.535833,0.266804,106.428571428571,0.221809857142857,0.226976857142857,0.116175,0.138333,1,0.36195,0.434167,1,1,0,-263,68,891,959,1321,41
"9",9,2011-01-09,1,0,1,0,0,0,1,0.138333,0.116175,0.434167,0.36195,95.4285714285714,0.189646285714286,0.193039142857143,0.150888,0.150833,1,0.223267,0.482917,1,1,0,-77,54,768,822,1263,43
"10",10,2011-01-10,1,0,1,0,1,1,1,0.150833,0.150888,0.482917,0.223267,84.1428571428571,0.183141857142857,0.187536714285714,0.191464,0.169091,2,0.122132,0.686364,1,1,0,-79,41,1280,1321,1162,25
"11",11,2011-01-11,1,0,1,0,2,1,2,0.169091,0.191464,0.686364,0.122132,74.8571428571429,0.178726285714286,0.184585571428571,0.160473,0.172727,1,0.304627,0.599545,1,1,0,-65,43,1220,1263,1406,38
"12",12,2011-01-12,1,0,1,0,3,1,1,0.172727,0.160473,0.599545,0.304627,66.7142857142857,0.170979142857143,0.174757428571429,0.150883,0.165,1,0.301,0.470417,1,1,0,-57,25,1137,1162,1421,54
"13",13,2011-01-13,1,0,1,0,4,1,1,0.165,0.150883,0.470417,0.301,59.5714285714286,0.165358,0.162996571428571,0.188413,0.16087,1,0.126548,0.537826,0,0,0,-50,38,1368,1406,1248,222
"14",14,2011-01-14,1,0,1,0,5,1,1,0.16087,0.188413,0.537826,0.126548,46.1428571428571,0.160264857142857,0.160078571428571,0.248112,0.233333,2,0.157963,0.49875,0,0,0,-94,54,1367,1421,1204,251
"15",15,2011-01-15,1,0,1,0,6,0,2,0.233333,0.248112,0.49875,0.157963,68.1428571428571,0.170026714285714,0.172344,0.234217,0.231667,1,0.188433,0.48375,1,0,1,154,222,1026,1248,1000,117
"16",16,2011-01-16,1,0,1,0,0,0,1,0.231667,0.234217,0.48375,0.188433,96.2857142857143,0.183360142857143,0.189207142857143,0.176771,0.175833,2,0.194017,0.5375,1,1,0,197,251,953,1204,683,9
"17",17,2011-01-17,1,0,1,1,1,0,2,0.175833,0.176771,0.5375,0.194017,107.142857142857,0.186931571428571,0.192904714285714,0.232333,0.216667,2,0.146775,0.861667,1,1,0,76,117,883,1000,1650,78
"18",18,2011-01-18,1,0,1,0,2,1,2,0.216667,0.232333,0.861667,0.146775,102.285714285714,0.193728142857143,0.198743142857143,0.298422,0.292174,2,0.208317,0.741739,1,1,0,-34,9,674,683,1927,83
"19",19,2011-01-19,1,0,1,0,3,1,2,0.292174,0.298422,0.741739,0.208317,109.857142857143,0.210792,0.218450142857143,0.25505,0.261667,2,0.195904,0.538333,1,1,0,53,78,1572,1650,1543,75
"20",20,2011-01-20,1,0,1,0,4,1,2,0.261667,0.25505,0.538333,0.195904,116.285714285714,0.224601571428571,0.233331142857143,0.157833,0.1775,1,0.353242,0.457083,0,0,0,45,83,1844,1927,981,93
"21",21,2011-01-21,1,0,1,0,5,1,1,0.1775,0.157833,0.457083,0.353242,119.285714285714,0.226977285714286,0.228962571428571,0.0790696,0.0591304,1,0.17197,0.4,0,0,0,21,75,1468,1543,986,150
