"","x"
"366",1556.64612777778
"367",1481.77292222222
"368",1608.81128333333
"369",1798.66588333334
"370",1537.45505555556
"371",1577.78363888889
"372",2108.9806
"373",2101.51956666667
"374",2084.83539444444
"375",2082.86372777778
"376",2048.49413333334
"377",1569.54778333334
"378",1526.28436111111
"379",1447.61991666667
"380",1868.66675555556
"381",1936.03717777778
"382",2026.92778888889
"383",2101.94366111111
"384",1529.25443333333
"385",1487.71088333333
"386",1773.65800555556
"387",1686.48572777778
"388",1983.70323888889
"389",2096.21056111111
"390",2139.15572222222
"391",1634.76941666667
"392",1586.08620555556
"393",2085.85797777778
"394",2113.46654444444
"395",2143.25336666667
"396",2237.01215
"397",2245.29206111111
"398",1749.16105714286
"399",1710.19786666667
"400",2127.22220555556
"401",2220.92065555555
"402",2242.89292777778
"403",2147.40795
"404",2099.78918333333
"405",1666.01255
"406",1554.91589444445
"407",1976.69465
"408",1968.9812
"409",2185.62917777778
"410",2214.85172222222
"411",2169.46293333333
"412",1538.66611666666
"413",1627.24
"414",1742.02158888889
"415",2020.50581666667
"416",2179.92856111111
"417",2258.76886111111
"418",2236.7598
"419",1698.03516269841
"420",1632.21407777778
"421",2107.97697222222
"422",2221.78518333333
"423",2168.50181666667
"424",2163.73208333333
"425",2263.49615555556
"426",1755.14342936508
"427",1757.12219047619
"428",2182.66556481482
"429",2274.67227037037
"430",2222.87940555556
"431",2219.05590555556
"432",2261.13997777778
"433",1739.50186825397
"434",1704.26941111111
"435",2241.10644444444
"436",2309.36197222222
"437",2405.24102777778
"438",2492.23675
"439",2634.72299444445
"440",1997.52594603175
"441",2292.7554015873
"442",2716.15834444444
"443",3004.93667222222
"444",2875.29798333333
"445",2790.78867222222
"446",3226.92653888889
"447",2806.60993888889
"448",2600.59617222223
"449",2904.67555555556
"450",3036.37815
"451",3030.33643888889
"452",3238.65535
"453",3165.47920555556
"454",2534.01416111112
"455",2094.52690555556
"456",2587.38735555556
"457",2842.72833888889
"458",2698.50868333333
"459",2889.72945555555
